table_type,repair_type,idx,tx_id,tx_type,duration_ms,count,read_ts,from_ts,to_ts,build_reason,trial,history_scans,component
ivmh,No Repair,1,1,RecentScan,17.13375,,1.0,,,,0,3,RecentScan
ivmh,No Repair,2,2,RecentScan,17.151833,,2.0,,,,0,3,RecentScan
ivmh,No Repair,3,3,RecentScan,15.66875,,3.0,,,,0,3,RecentScan
ivmh,No Repair,4,4,RecentScan,15.787375,,4.0,,,,0,3,RecentScan
ivmh,No Repair,5,5,RecentScan,17.141792,,5.0,,,,0,3,RecentScan
ivmh,No Repair,6,6,MarkTs,0.001125,,6.0,,,,0,3,
ivmh,No Repair,7,7,Update,0.018042000000000002,6.0,,,,,0,3,Update
ivmh,No Repair,8,8,MarkTs,51.849875,,6.0,,,HistoryScan,0,3,BuildSnap
ivmh,No Repair,8,8,HistoryScan,18.758167,,6.0,,,,0,3,HistoryScan
ivmh,No Repair,9,9,RecentScan,17.443625,,9.0,,,,0,3,RecentScan
ivmh,No Repair,10,10,RecentScan,17.565083,,10.0,,,,0,3,RecentScan
ivmh,No Repair,11,11,RecentScan,16.2055,,11.0,,,,0,3,RecentScan
ivmh,No Repair,12,12,RecentScan,16.797042,,12.0,,,,0,3,RecentScan
ivmh,No Repair,13,13,MarkTs,0.0,,13.0,,,,0,3,
ivmh,No Repair,14,14,Update,0.009833,6.0,,,,,0,3,Update
ivmh,No Repair,15,15,MarkTs,50.991916,,13.0,,,HistoryScan,0,3,BuildSnap
ivmh,No Repair,15,15,HistoryScan,16.345542,,13.0,,,,0,3,HistoryScan
ivmh,No Repair,16,16,RecentScan,17.41375,,16.0,,,,0,3,RecentScan
ivmh,No Repair,17,17,RecentScan,17.158708,,17.0,,,,0,3,RecentScan
ivmh,No Repair,18,18,RecentScan,16.437375,,18.0,,,,0,3,RecentScan
ivmh,No Repair,19,19,RecentScan,16.460959,,19.0,,,,0,3,RecentScan
ivmh,No Repair,20,20,MarkTs,0.001083,,20.0,,,,0,3,
ivmh,No Repair,21,21,Update,0.013917,6.0,,,,,0,3,Update
ivmh,No Repair,22,22,MarkTs,50.226167,,20.0,,,HistoryScan,0,3,BuildSnap
ivmh,No Repair,22,22,HistoryScan,18.985542,,20.0,,,,0,3,HistoryScan
ivmh,No Repair,23,23,RecentScan,17.500667,,23.0,,,,0,3,RecentScan
ivmh,No Repair,24,24,RecentScan,17.671416,,24.0,,,,0,3,RecentScan
ivmh,No Repair,25,25,RecentScan,16.833375,,25.0,,,,0,3,RecentScan
ivmh,No Repair,26,26,RecentScan,16.249833,,26.0,,,,0,3,RecentScan
ivmh,No Repair,27,27,MarkTs,0.0015840000000000001,,27.0,,,,0,3,
ivmh,No Repair,28,28,Update,0.014083,6.0,,,,,0,3,Update
ivmh,No Repair,29,29,RecentScan,16.858334,,29.0,,,,0,3,RecentScan
